受访者ID,创新氛围1,创新氛围2,创新氛围3,工作投入1,工作投入2,工作投入3,领导支持1,领导支持2,领导支持3,创新绩效1,创新绩效2,创新绩效3,年龄,性别
R0249,6.0,5.0,6.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,26,1
R0250,4.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,3.0,6.0,4.0,5.0,26,0
R0251,3.0,3.0,4.0,2.0,1.0,7.0,3.0,3.0,6.0,6.0,4.0,5.0,51,0
R0252,5.0,5.0,5.0,7.0,7.0,1.0,5.0,6.0,6.0,6.0,6.0,6.0,48,0
R0253,6.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,29,1
R0254,3.0,4.0,4.0,7.0,6.0,3.0,5.0,4.0,4.0,6.0,4.0,6.0,25,0
R0255,5.0,6.0,6.0,2.0,3.0,5.0,3.0,3.0,2.0,3.0,3.0,4.0,38,1
R0256,4.0,6.0,5.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,32,1
R0257,4.0,5.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,27,1
R0258,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,30,0
R0259,3.0,3.0,4.0,3.0,3.0,5.0,6.0,6.0,6.0,4.0,5.0,4.0,34,1
R0260,3.0,2.0,2.0,1.0,1.0,7.0,1.0,3.0,3.0,1.0,3.0,3.0,37,0
R0261,5.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,50,1
R0262,1.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,46,1
R0263,5.0,4.0,6.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,31,1
R0264,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,38,0
R0265,4.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,5.0,3.0,4.0,36,0
R0266,6.0,5.0,,4.0,4.0,3.0,4.0,2.0,6.0,4.0,5.0,4.0,42,0
R0267,5.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,4.0,5.0,22,0
R0268,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,46,1
R0269,3.0,4.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,6.0,7.0,4.0,42,1
R0270,3.0,3.0,4.0,4.0,3.0,6.0,4.0,,4.0,4.0,4.0,4.0,32,0
R0271,4.0,4.0,4.0,5.0,6.0,2.0,4.0,,4.0,4.0,3.0,4.0,43,1
R0272,5.0,4.0,5.0,4.0,7.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,50,1
R0273,6.0,,5.0,5.0,5.0,3.0,4.0,4.0,5.0,6.0,4.0,4.0,26,0
R0274,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,55,1
R0275,4.0,5.0,5.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,36,1
R0276,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,29,1
R0277,4.0,4.0,4.0,5.0,6.0,2.0,4.0,5.0,4.0,6.0,5.0,5.0,25,0
R0278,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,54,0
R0279,1.0,3.0,2.0,3.0,4.0,4.0,6.0,6.0,5.0,4.0,4.0,4.0,28,0
R0280,3.0,4.0,4.0,3.0,4.0,5.0,6.0,6.0,4.0,4.0,3.0,2.0,46,1
R0281,5.0,4.0,4.0,4.0,3.0,4.0,5.0,6.0,6.0,3.0,4.0,3.0,49,1
R0282,4.0,3.0,2.0,4.0,4.0,6.0,4.0,2.0,1.0,5.0,3.0,3.0,54,0
R0283,5.0,5.0,6.0,4.0,4.0,2.0,6.0,5.0,5.0,6.0,5.0,6.0,44,0
R0284,3.0,2.0,3.0,3.0,3.0,6.0,4.0,3.0,3.0,3.0,4.0,2.0,50,1
R0285,4.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,50,1
R0286,3.0,2.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,55,0
R0287,4.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,6.0,5.0,6.0,5.0,41,0
R0288,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,39,0
R0289,4.0,2.0,4.0,6.0,6.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,41,1
R0290,3.0,4.0,5.0,4.0,4.0,3.0,5.0,4.0,3.0,6.0,6.0,5.0,28,1
R0291,5.0,4.0,5.0,3.0,5.0,2.0,4.0,5.0,4.0,6.0,4.0,5.0,22,1
R0292,2.0,4.0,3.0,4.0,2.0,3.0,1.0,2.0,,3.0,3.0,3.0,54,0
R0293,5.0,5.0,6.0,5.0,,4.0,3.0,3.0,4.0,4.0,5.0,4.0,46,0
R0294,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,28,0
R0295,2.0,2.0,2.0,6.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0,3.0,40,1
R0296,6.0,6.0,5.0,5.0,6.0,2.0,5.0,4.0,5.0,5.0,4.0,5.0,34,0
R0297,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,48,0
R0298,2.0,2.0,1.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,46,0
R0299,4.0,6.0,7.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,28,1
R0300,,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,31,1
R0301,3.0,4.0,2.0,4.0,3.0,6.0,3.0,3.0,3.0,3.0,1.0,4.0,22,1
R0302,2.0,4.0,2.0,4.0,4.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,51,1
R0303,3.0,3.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,3.0,3.0,3.0,43,0
R0304,4.0,3.0,4.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,5.0,2.0,53,1
R0305,4.0,5.0,4.0,4.0,4.0,4.0,,4.0,5.0,4.0,4.0,6.0,51,0
R0306,3.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,40,0
R0307,4.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,7.0,4.0,4.0,3.0,35,1
R0308,5.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,5.0,5.0,4.0,34,1
R0309,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,24,1
R0310,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,52,0
R0311,4.0,5.0,4.0,6.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,5.0,30,1
R0312,5.0,5.0,5.0,3.0,5.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,29,0
R0313,4.0,4.0,5.0,2.0,3.0,6.0,2.0,3.0,3.0,3.0,2.0,3.0,53,1
R0314,4.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,39,0
R0315,5.0,4.0,5.0,6.0,5.0,4.0,5.0,7.0,7.0,4.0,6.0,4.0,41,1
R0316,2.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,30,0
R0317,2.0,2.0,1.0,3.0,2.0,7.0,2.0,4.0,3.0,2.0,1.0,4.0,50,1
R0318,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,6.0,3.0,5.0,23,1
R0319,4.0,5.0,5.0,5.0,6.0,2.0,7.0,6.0,7.0,6.0,7.0,7.0,50,0
R0320,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,6.0,4.0,4.0,53,1
